"nombre_modelo,""val_rmse"",""val_r2"",""prod_rmse"",""prod_r2"",""fecha_ejecucion"",""horizonte_prediccion"",""dataset_size"",""train_size"",""val_size"""
"Original (47 feat, recursivo 48h),""25.554898275910247"",""-0.26490198514206154"",""71.1673122832898"",""-46.70318117373769"",""2026-06-06 20:27:34"",""24h"",""34416"",""34320"",""6864"""
"Simplificado (15 feat, recursivo 24h),""22.145383086971105"",""0.050106412341650475"",""50.17299846035224"",""-15.939395101486877"",""2026-06-06 20:27:34"",""24h"",""34416"",""34320"",""6864"""
"DMS (24 modelos independientes),""15.959839662142402"",""0.4675338866230292"",""13.590061879335824"",""-0.24279830883968545"",""2026-06-06 20:27:34"",""24h"",""34416"",""34320"",""6864"""
"HYBRID (Baseline + XGBoost),""10.724757814924315"",""0.7668615698789569"",""13.389705984608941"",""-0.20642371787765246"",""2026-06-06 20:27:34"",""24h"",""34416"",""34320"",""6864"""
"LIGHTGBM_Autoregresivo,""14.588515648263513"",""0.6064434963036951"",""14.60"",""-0.2234237178776524"",""2026-06-08 02:22:16"",""24h"",""34416"",""27532"",""6884"""
"SARIMAX(2,0,0)(2,1,0,24),""53.2561401853072"",""-4.204666979522256"",""53.26"",""-45,34318337373869"",""2026-06-08 02:14:10"",""24h"",""34344,27532"",""6812"""
"XGBoostMultiStep,"""","""",""6.4001"","""",""2026-06-08 02:14:10"",""24h"","""","""""

